date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:45	96479/96479	---MCZ	200	added ('OK')	text/html	etag:cacheable:abb3f1ddd9ff7b75148c89281fb3ad0c	https://amplifiedapparel.com/collections/leggings	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/leggings.html	(from https://amplifiedapparel.com/)
11:54:47	94486/94486	---MCZ	200	added ('OK')	text/html	etag:cacheable:a2954ad8eeb7e45877a7401423867863	https://amplifiedapparel.com/pages/about-us	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/pages/about-us.html	(from https://amplifiedapparel.com/)
11:54:48	92077/92077	---MCZ	200	added ('OK')	text/html	etag:cacheable:1c21fa4b4472ac398d92a01d4b032c6b	https://amplifiedapparel.com/pages/contact	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/pages/contact.html	(from https://amplifiedapparel.com/)
11:54:49	96381/96381	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://amplifiedapparel.com/)
11:54:49	103142/103142	---MCZ	200	added ('OK')	text/html	etag:cacheable:06187661403f496384661212fc3b1bb8	https://amplifiedapparel.com/blogs/news	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/blogs/news.html	(from https://amplifiedapparel.com/)
11:54:51	92259/92259	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20May%202019%2015:54:43%20GMT	https://amplifiedapparel.com/account/login	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/account/login.html	(from https://amplifiedapparel.com/)
11:54:52	91748/91748	---MCZ	200	added ('OK')	text/html	etag:cacheable:966b018045ae52b50033645c835dee6e	https://amplifiedapparel.com/cart	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/cart.html	(from https://amplifiedapparel.com/)
11:54:55	145732/145732	---MCZ	200	added ('OK')	text/html	etag:cacheable:befd89dbdbeede480e5c2bcba8c98822	https://amplifiedapparel.com/collections/leggings/products/life-is-short-rock-it-leggings	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/leggings/products/life-is-short-rock-it-leggings.html	(from https://amplifiedapparel.com/)
11:54:55	11723/11723	---M--	200	added ('OK')	image/png	date:Thu,%2002%20May%202019%2015:54:46%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/t/6/assets/guitar-case-white.png?0	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/t/6/assets/guitar-case-whitecfcd.png	(from https://amplifiedapparel.com/)
11:54:58	141189/141189	---MCZ	200	added ('OK')	text/html	etag:cacheable:28881ccca9cf69a50c6ac80ba59a254a	https://amplifiedapparel.com/collections/all-t-shirts/products/cut-your-damn-strings-guitar-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/cut-your-damn-strings-guitar-t-shirt.html	(from https://amplifiedapparel.com/)
11:54:58	41051/41051	---M--	200	added ('OK')	image/png	date:Thu,%2002%20May%202019%2015:54:44%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/t/6/assets/logo.png?0	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/t/6/assets/logocfcd.png	(from https://amplifiedapparel.com/)
11:55:01	140458/140458	---MCZ	200	added ('OK')	text/html	etag:cacheable:1edd555ed360ca8b1feb950be011190a	https://amplifiedapparel.com/collections/all-t-shirts/products/electric-guitar-notes-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/electric-guitar-notes-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:01	20688/20688	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:54:50%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/cut-your-damn-strings-480x480_large.jpg?v=1487039140	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/cut-your-damn-strings-480x480_large4774.jpg	(from https://amplifiedapparel.com/)
11:55:04	140730/140730	---MCZ	200	added ('OK')	text/html	etag:cacheable:5e10963909278e1174ed10b878606ae6	https://amplifiedapparel.com/collections/all-t-shirts/products/electric-guitar-tree-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/electric-guitar-tree-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:07	40300/40300	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:54:53%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/guitar-notes_large.jpg?v=1518786838	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/guitar-notes_large2dc7.jpg	(from https://amplifiedapparel.com/)
11:55:07	142207/142207	---MCZ	200	added ('OK')	text/html	etag:cacheable:55d4f13328dace5015132668ba0954e3	https://amplifiedapparel.com/collections/all-t-shirts/products/groupies-wanted	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/groupies-wanted.html	(from https://amplifiedapparel.com/)
11:55:10	140069/140069	---MCZ	200	added ('OK')	text/html	etag:cacheable:749e5890b4533b7bc9de1dd4f2e3e09d	https://amplifiedapparel.com/collections/all-t-shirts/products/guitar-god-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/guitar-god-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:11	39790/39790	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:54:57%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/electric-guitar-tree-t-shirt_large.jpg?v=1505448588	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/electric-guitar-tree-t-shirt_larged372.jpg	(from https://amplifiedapparel.com/)
11:55:14	144570/144570	---MCZ	200	added ('OK')	text/html	etag:cacheable:f2421d2de32d7f43a01770269f9c2192	https://amplifiedapparel.com/collections/all-t-shirts/products/howling-werewolf-electric-guitar-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/howling-werewolf-electric-guitar-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:14	21946/21946	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:05%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/guitar-god-t-shirt_large.jpg?v=1505448426	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/guitar-god-t-shirt_largefbd0.jpg	(from https://amplifiedapparel.com/)
11:55:16	51323/51323	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:02%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/groupies-wanted-t-shirt_large.jpg?v=1505448488	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/groupies-wanted-t-shirt_largef40c.jpg	(from https://amplifiedapparel.com/)
11:55:18	142407/142407	---MCZ	200	added ('OK')	text/html	etag:cacheable:8058ea0234d4231ff22fce22896a79d1	https://amplifiedapparel.com/collections/all-t-shirts/products/i-was-gonna-go-to-work	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/i-was-gonna-go-to-work.html	(from https://amplifiedapparel.com/)
11:55:22	142344/142344	---MCZ	200	added ('OK')	text/html	etag:cacheable:e5e82514b8e1958822410c002b98121e	https://amplifiedapparel.com/collections/all-t-shirts/products/guitar-does-the-talkin-electric-guitar-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/guitar-does-the-talkin-electric-guitar-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:24	43955/43955	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:10%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/howling-werewolf_large.jpg?v=1506570097	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/howling-werewolf_large98ef.jpg	(from https://amplifiedapparel.com/)
11:55:27	51769/51769	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:11%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/i-was-going-to-go-to-work-guitar-t-shirt_large.jpg?v=1505448217	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/i-was-going-to-go-to-work-guitar-t-shirt_large7044.jpg	(from https://amplifiedapparel.com/)
11:55:27	20212/20212	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:17%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/guitar-does-the-talkin-t-shirt_large.jpg?v=1505448089	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/guitar-does-the-talkin-t-shirt_large66c8.jpg	(from https://amplifiedapparel.com/)
11:55:27	141279/141279	---MCZ	200	added ('OK')	text/html	etag:cacheable:20cd06657a49b8a3e98b6f4169bee015	https://amplifiedapparel.com/collections/all-t-shirts/products/no-soft-rock-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/no-soft-rock-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:29	142721/142721	---MCZ	200	added ('OK')	text/html	etag:cacheable:1629fc62048b90ad403c909d254aa10e	https://amplifiedapparel.com/collections/all-t-shirts/products/pick-it-pluck-it-strum-it-acoustic-guitar-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/pick-it-pluck-it-strum-it-acoustic-guitar-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:33	140859/140859	---MCZ	200	added ('OK')	text/html	etag:cacheable:06fc7b0cfe51ec878ca95f2d38dc21aa	https://amplifiedapparel.com/collections/all-t-shirts/products/rock-god-electric-guitar-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/rock-god-electric-guitar-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:33	27584/27584	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:21%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/no-soft-rock-guitar-t-shirt_large.jpg?v=1505445934	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/no-soft-rock-guitar-t-shirt_large07a3.jpg	(from https://amplifiedapparel.com/)
11:55:33	23532/23532	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:22%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/pick-it-pluck-it-strum-it-acoustic-guitar-t-shirt_large.jpg?v=1505447460	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/pick-it-pluck-it-strum-it-acoustic-guitar-t-shirt_large348e.jpg	(from https://amplifiedapparel.com/)
11:55:36	14029/14029	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:28%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/rock-god-guitar-t-shirt_large.jpg?v=1505446542	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/rock-god-guitar-t-shirt_large1d74.jpg	(from https://amplifiedapparel.com/)
11:55:36	142138/142138	---MCZ	200	added ('OK')	text/html	etag:cacheable:c0e795a692095832ef5e604652bc16d0	https://amplifiedapparel.com/collections/all-t-shirts/products/rock-paper-scissors-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/rock-paper-scissors-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:39	141480/141480	---MCZ	200	added ('OK')	text/html	etag:cacheable:7352eb5a3677896dd598f6e7834ce4ab	https://amplifiedapparel.com/collections/all-t-shirts/products/rock-star-eye-chart-guitar-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/rock-star-eye-chart-guitar-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:40	29859/29859	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:29%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/rock-paper-scissors_large.jpg?v=1509685689	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/rock-paper-scissors_large1e46.jpg	(from https://amplifiedapparel.com/)
11:55:41	141926/141926	---MCZ	200	added ('OK')	text/html	etag:cacheable:6a008a3ff0b6ff98bf23b5f6f9dc635d	https://amplifiedapparel.com/collections/all-t-shirts/products/vintage-acoustic-guitar-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/vintage-acoustic-guitar-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:42	19093/19093	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:32%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/rock-star-eye-chart-guitar-t-shirt_large.jpg?v=1505446256	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/rock-star-eye-chart-guitar-t-shirt_large592c.jpg	(from https://amplifiedapparel.com/)
11:55:45	141078/141078	---MCZ	200	added ('OK')	text/html	etag:cacheable:247e8e0a2fe36a688f9d7e8a1c7387fe	https://amplifiedapparel.com/collections/all-t-shirts/products/vintage-electric-guitar-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/vintage-electric-guitar-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:45	24016/24016	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:34%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/vintage-acoustic-guitar-t-shirt_large.jpg?v=1505446151	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/vintage-acoustic-guitar-t-shirt_largef38d.jpg	(from https://amplifiedapparel.com/)
11:55:47	142425/142425	---MCZ	200	added ('OK')	text/html	etag:cacheable:44351f8b72eea25185c9cb47afbbfc37	https://amplifiedapparel.com/collections/all-t-shirts/products/where-i-lay-my-guitar-is-home-t-shirt	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/where-i-lay-my-guitar-is-home-t-shirt.html	(from https://amplifiedapparel.com/)
11:55:47	23681/23681	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2015:55:37%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/products/vintage-electric-guitar-t-shirt_large.jpg?v=1505446029	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/products/vintage-electric-guitar-t-shirt_large75fd.jpg	(from https://amplifiedapparel.com/)
11:55:50	140564/140564	---MCZ	200	added ('OK')	text/html	etag:cacheable:fa7d0f82227b1d76dd9c2d8e81b091ad	https://amplifiedapparel.com/collections/all-t-shirts/products/work-hard-rock-harder	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts/products/work-hard-rock-harder.html	(from https://amplifiedapparel.com/)
